Time,EP_con_kWh,EP_gen_kWh
18705600,0.325170033005,0.12658
18709200,0.333782296434,0.13461
18712800,0.277857875091,0.12803
18716400,0.275867482368,0.12566
18720000,0.274945678907,0.12355
18723600,0.275452623195,0.12564
18727200,0.342449695542,0.14211
18730800,0.360641107743,0.1496
18734400,0.381017248522,0.15972
18738000,0.386043799731,0.1636
18741600,0.343625370438,0.1636
18745200,0.356124905487,0.15971
18748800,0.305194827952,0.1432
18752400,0.293058145029,0.13151
18756000,0.288521959348,0.11878
18759600,0.295074201817,0.11443
18763200,0.333878175726,0.1375
18766800,0.342470686147,0.13958
18770400,0.361101313219,0.14766
18774000,0.366726741708,0.1546
18777600,0.340479715794,0.14677
18781200,0.290318130747,0.12832
18784800,0.255185795805,0.1144
18788400,0.244751397598,0.1119
18792000,0.241124224987,0.11453
18795600,0.248314696605,0.1206
18799200,0.248960743343,0.12059
18802800,0.250251390208,0.11964
18806400,0.244094535966,0.11452
18810000,0.241906703173,0.11246
18813600,0.243792385031,0.1146
18817200,0.290766897712,0.14703
18820800,0.321277719702,0.16739
18824400,0.334553456653,0.17972
18828000,0.331599697322,0.17456
18831600,0.337532824078,0.16741
18835200,0.353016279202,0.16352
18838800,0.35995570242,0.15453
18842400,0.354619304979,0.13949
18846000,0.361112081098,0.1346
18849600,0.385781418989,0.1413
18853200,0.40772849802,0.1515
18856800,0.413749008033,0.15063
18860400,0.38953273282,0.1347
18864000,0.351204789072,0.11467
18867600,0.269899815167,0.08788
18871200,0.222326886154,0.07639
18874800,0.202427089896,0.07168
18878400,0.218276569256,0.08599
18882000,0.197057195098,0.07826
18885600,0.186443698338,0.07585
18889200,0.208393497274,0.0856
18892800,0.237404179253,0.10233
18896400,0.241826103732,0.10665
18900000,0.246361673728,0.11017
18903600,0.26611361204,0.11988
18907200,0.327426132493,0.16357
18910800,0.328408909276,0.17042
18914400,0.331806636916,0.17466
18918000,0.340097442694,0.16961
18921600,0.374324439547,0.16291
18925200,0.387413009224,0.15692
18928800,0.381704971231,0.14132
18932400,0.379586752918,0.12933
18936000,0.387805806519,0.12928
18939600,0.397081493224,0.13925
18943200,0.399097197556,0.15211
18946800,0.379480791741,0.1531
18950400,0.395811772044,0.16259
18954000,0.355836846027,0.15218
18957600,0.36710444346,0.13747
18961200,0.356379747741,0.13476
18964800,0.361931564051,0.14298
18968400,0.36011506926,0.14365
18972000,0.297451857387,0.13372
18975600,0.291757632113,0.12761
18979200,0.288896381852,0.12561
18982800,0.292537298292,0.1287
18986400,0.351298726839,0.13874
18990000,0.379868977271,0.15292
18993600,0.401285866001,0.16613
18997200,0.407390625933,0.17002
19000800,0.364935839506,0.16763
19004400,0.365710960522,0.15226
19008000,0.376125621021,0.16197
19011600,0.385094700748,0.15499
19015200,0.372875121566,0.13507
19018800,0.372606714093,0.12946
19022400,0.377483841304,0.12843
19026000,0.379609201628,0.13052
19029600,0.383378678635,0.14319
19033200,0.380849675051,0.15234
19036800,0.386805533283,0.15245
19040400,0.349898580616,0.14509
19044000,0.37413706926,0.1396
19047600,0.35554798986,0.1296
19051200,0.359271332699,0.1387
19054800,0.365000537338,0.14439
19058400,0.294814666205,0.12485
19062000,0.293767141703,0.12364
19065600,0.290065585412,0.12043
19069200,0.29995499535,0.12667
19072800,0.371771141846,0.14659
19076400,0.385705841185,0.15206
19080000,0.411826228348,0.16384
19083600,0.419146925583,0.16977
19087200,0.38024670333,0.16919
19090800,0.396860938108,0.16192
19094400,0.366926768889,0.1554
19098000,0.377786994825,0.14964
19101600,0.378794657944,0.14196
19105200,0.373362042073,0.12958
19108800,0.396093001325,0.1413
19112400,0.403527966449,0.14402
19116000,0.390650398935,0.1421
19119600,0.382209425441,0.14945
19123200,0.391067608893,0.15206
19126800,0.366750748254,0.15273
19130400,0.392423591427,0.14868
19134000,0.359231534619,0.13357
19137600,0.342445386398,0.1237
19141200,0.339704750967,0.1237
19144800,0.291500342874,0.1237
19148400,0.289175701732,0.1216
19152000,0.294582523761,0.1237
19155600,0.308253191209,0.13561
19159200,0.376488866946,0.14868
19162800,0.390995441556,0.15275
19166400,0.415514618817,0.1661
19170000,0.42365693553,0.17128
19173600,0.379300077075,0.16961
19177200,0.394183738842,0.16355
19180800,0.385657999108,0.16388
19184400,0.394965497349,0.15711
19188000,0.396696039426,0.14954
19191600,0.392831712766,0.1396
19195200,0.399413062846,0.1396
19198800,0.403131067709,0.1437
19202400,0.393782513085,0.15036
19206000,0.39007233724,0.16033
19209600,0.394933446713,0.16031
19213200,0.361095823816,0.15747
19216800,0.381818600038,0.1498
19220400,0.361186040358,0.13985
19224000,0.357841576856,0.13952
19227600,0.359022831834,0.14485
19231200,0.289043792241,0.12606
19234800,0.283822779648,0.1222
19238400,0.285790938346,0.1228
19242000,0.303360579867,0.13667
19245600,0.368799364723,0.14962
19249200,0.386930346434,0.15788
19252800,0.410178082246,0.16972
19256400,0.421696082487,0.17579
19260000,0.380019479241,0.1729
19263600,0.390731840229,0.16699
19267200,0.408055581811,0.17567
19270800,0.412996602189,0.16199
19274400,0.423019425308,0.15343
19278000,0.432619313797,0.14998
19281600,0.440234651226,0.14997
19285200,0.44500215403,0.1529
19288800,0.428189249899,0.16393
19292400,0.420827312053,0.17567
19296000,0.425273136345,0.17567
19299600,0.387947563016,0.16803
19303200,0.410304019938,0.16088
19306800,0.388456112697,0.1477
19310400,0.385309669505,0.15065
19314000,0.389153670114,0.1567
19317600,0.325054382931,0.1427
19321200,0.306783337728,0.1273
19324800,0.306427087137,0.12443
19328400,0.313307517195,0.1289
19332000,0.382085696382,0.14441
19335600,0.410683433133,0.16398
19339200,0.435082076842,0.1763
19342800,0.453153305031,0.18238
19346400,0.410087339238,0.1796
19350000,0.421685665297,0.1763
19353600,0.430103177392,0.17452
19357200,0.443443410179,0.16814
19360800,0.463635237668,0.16418
19364400,0.473495771467,0.15924
19368000,0.484781423786,0.15921
19371600,0.489480500527,0.15795
19375200,0.488574241999,0.15922
19378800,0.483406936268,0.15765
19382400,0.447211263134,0.15786
19386000,0.409420436497,0.16176
19389600,0.377216277605,0.15906
19393200,0.309791426678,0.12772
19396800,0.306044316127,0.14732
19400400,0.282083906805,0.1357
19404000,0.260404041183,0.11876
19407600,0.259781552128,0.11872
19411200,0.261081554446,0.11785
19414800,0.261050552443,0.11785
19418400,0.264407135561,0.1196
19422000,0.318549284432,0.15553
19425600,0.341327008762,0.16979
19429200,0.346721565133,0.17894
19432800,0.353529522022,0.1802
19436400,0.371971836118,0.17931
19440000,0.409563365562,0.19054
19443600,0.42605839382,0.18881
19447200,0.442611823969,0.18521
19450800,0.461412570478,0.18429
19454400,0.474793955869,0.18283
19458000,0.48167398862,0.18209
19461600,0.480807606123,0.18056
19465200,0.47021227102,0.16817
19468800,0.419846046672,0.15853
19472400,0.318635003647,0.12475
19476000,0.272276465074,0.11448
19479600,0.251905547496,0.1119
19483200,0.242151689096,0.11093
19486800,0.238515438078,0.11094
19490400,0.234080241258,0.10947
19494000,0.228388515634,0.10279
19497600,0.205975553413,0.09093
19501200,0.203606922172,0.0902
19504800,0.215805518848,0.09638
19508400,0.24127829044,0.11481
19512000,0.342791332963,0.18262
19515600,0.351016105636,0.19698
19519200,0.353885377276,0.19955
19522800,0.357484065134,0.18902
19526400,0.373763945388,0.17714
19530000,0.383328247825,0.16994
19533600,0.380506814226,0.16015
19537200,0.361661353237,0.13642
19540800,0.354254691067,0.12462
19544400,0.355462444689,0.12492
19548000,0.399478500221,0.15636
19551600,0.394996394497,0.15739
19555200,0.368285772534,0.15588
19558800,0.306523103995,0.14565
19562400,0.248871864679,0.11876
19566000,0.227744881408,0.1092
19569600,0.228984706884,0.11455
19573200,0.232231564084,0.11954
19576800,0.234068071345,0.11857
19580400,0.23932848124,0.1186
19584000,0.233390955627,0.1146
19587600,0.229693791943,0.1127
19591200,0.234305140469,0.11908
19594800,0.316254221162,0.16524
19598400,0.338240251078,0.17901
19602000,0.351896468584,0.19385
19605600,0.355055573902,0.19459
19609200,0.357520798678,0.18419
19612800,0.381712272021,0.17578
19616400,0.391214580028,0.16482
19620000,0.389631435726,0.15888
19623600,0.398971843653,0.1591
19627200,0.373031611144,0.14438
19630800,0.359242548948,0.1424
19634400,0.372063441385,0.15655
19638000,0.369869958091,0.16785
19641600,0.376681910553,0.16956
19645200,0.323340506216,0.14862
19648800,0.31156761066,0.11848
19652400,0.32233224306,0.13729
19656000,0.302972749659,0.12448
19659600,0.294612465158,0.12048
19663200,0.233361978055,0.11281
19666800,0.225322830083,0.10588
19670400,0.225416149092,0.10438
19674000,0.22674505235,0.10588
19677600,0.278546394306,0.10623
19681200,0.301602895135,0.11238
19684800,0.380511923668,0.16054
19688400,0.400312047393,0.17954
19692000,0.36222777903,0.17941
19695600,0.369058074348,0.16744
19699200,0.347192538229,0.16974
19702800,0.357344356575,0.16467
19706400,0.357401406904,0.15775
19710000,0.361320990743,0.1551
19713600,0.363330464575,0.15408
19717200,0.370375246789,0.16018
19720800,0.375047099585,0.16707
19724400,0.362734945471,0.17141
19728000,0.380788115123,0.16144
19731600,0.330043371234,0.14946
19735200,0.322525026627,0.12042
19738800,0.298867443069,0.107
19742400,0.300633157678,0.11096
19746000,0.316343065407,0.12469
19749600,0.266523433314,0.1232
19753200,0.249127928372,0.10658
19756800,0.245620680831,0.10374
19760400,0.243464425599,0.10172
19764000,0.288890434866,0.0991
19767600,0.313820611956,0.1085
19771200,0.373714517487,0.14961
19774800,0.39434671563,0.16762
19778400,0.341512887825,0.1596
19782000,0.325299788322,0.13686
19785600,0.316772585708,0.14842
19789200,0.317629413679,0.14937
19792800,0.320452793066,0.14831
19796400,0.298230428826,0.12441
19800000,0.300296563166,0.12439
19803600,0.311095397619,0.13534
19807200,0.328137046485,0.15961
19810800,0.33241285524,0.16435
19814400,0.348582268073,0.1635
19818000,0.293448083656,0.13955
19821600,0.284983600798,0.10465
19825200,0.278520017838,0.09981
19828800,0.280881619496,0.10466
19832400,0.280288150974,0.10659
19836000,0.232432631181,0.10475
19839600,0.228660918528,0.09879
19843200,0.227416829246,0.09824
19846800,0.228288530797,0.09953
19850400,0.284871325203,0.10438
19854000,0.331925462434,0.13714
19857600,0.385631785006,0.17003
19861200,0.406794055887,0.1885
19864800,0.353403283071,0.17701
19868400,0.347974491069,0.16735
19872000,0.307312938691,0.13559
19875600,0.284463719339,0.11511
19879200,0.283388341508,0.10944
19882800,0.263460127507,0.08972
19886400,0.265940873706,0.09127
19890000,0.26876431693,0.09257
19893600,0.327861179479,0.14654
19897200,0.332056024253,0.15016
19900800,0.344009195895,0.14952
19904400,0.277867238376,0.11544
19908000,0.276590882918,0.08951
19911600,0.273598054377,0.0896
19915200,0.292776849455,0.10641
19918800,0.311070341274,0.1196
19922400,0.262553298501,0.11759
19926000,0.277038882048,0.12949
19929600,0.285340342867,0.13657
19933200,0.289305184995,0.13871
19936800,0.356182649142,0.14933
19940400,0.375133952373,0.16708
19944000,0.422134301882,0.19662
19947600,0.471302111841,0.22978
19951200,0.385050534378,0.19959
19954800,0.364553283627,0.17161
19958400,0.392175098832,0.17861
19962000,0.398680693919,0.17755
19965600,0.423757386828,0.17696
19969200,0.436895590867,0.17593
19972800,0.447816448886,0.17665
19976400,0.456074117407,0.17665
